Filename From Zip,Source URL,Post Date/Time,Username,Followers,Engagement Rate,Like Count,Comment Count,Location,Post Type,Caption,Hashtags,Mentions,Image/Video URL
dr.1-CIg-CyTpW12.jpg,https://www.instagram.com/p/CIg-CyTpW12,12/7/2020,dr.1,125,0.192,18,6,,image,#envpsy #envpsyw7 environmental restoration: this bird sanctuary faintly visible among the fleeting colors of sunset has been given the time and aid to restore into a healthy environment for multiple bird species,"envpsy, envpsyw7",,https://instagram.fcgk18-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/129764999_731981751015289_1632490197203870272_n.jpg?_nc_ht=instagram.fcgk18-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=-bbIS5wqEKoAX8UeX0J&tp=1&oh=f8bd08b7dc75231c94006c32ce8d4302&oe=5FFD3639
debbiejung1500-CIgW83thJi9.jpg,https://www.instagram.com/p/CIgW83thJi9,12/7/2020,debbiejung1500,16,0.6875,7,4,Libe Slope,image,"HER Process: Restoration
#envpsyw7 #envpsy 
(I just got out of a 2 week quarantine so here is an old picture) Sitting at the top of the slope and being able to see the natural landscape helps clear my mind of stress. It always helps to be in an open green space and look at nature instead of working indoors for too long and feeling stuffy. I wasn’t able to do these sorts of things during my quarantine and there were times that I just wanted to go outside to refresh my mind because being inside could be so stuffy.","envpsyw7, envpsy",,https://instagram.fgua3-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/129743647_136087704735251_1447381068499743125_n.jpg?_nc_ht=instagram.fgua3-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=EL0f0a4v2GQAX_pywbh&tp=1&oh=89986f8de287f4728dcd4637ed334387&oe=5FFC5BF0
montyhammdea-CIgVU37nZcU.jpg,https://www.instagram.com/p/CIgVU37nZcU,12/7/2020,montyhammdea,4,2.5,6,4,,image,"Her process: aesthetic 
Taking a trip to my friends house far from society. This place allows me to relax and decompress the day and my work load. 
#envpsy #envpsyw7","envpsy, envpsyw7",,https://instagram.fboj1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/129747995_695043001399622_8334679837404896437_n.jpg?_nc_ht=instagram.fboj1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=C2ho_47I9mMAX-RN10g&tp=1&oh=3fbea541e25ec05fcb0c71fb965c99f1&oe=5FFCD25D
emilyp_dea1500-CIhE7U7BC4K.jpg,https://www.instagram.com/p/CIhE7U7BC4K,12/8/2020,emilyp_dea1500,29,0.2759,6,2,,image,her process: small group ecology. where people sit in relation to each other can indicate the relationship they have/what they’re doing. sitting next to each other often suggests collaboration. i’m not sure if this applies to dogs but no one in my family wanted to participate! #envpsy #envpsyw7,"envpsy, envpsyw7",,https://instagram.fsjo14-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/129737474_840923893340175_4004114156632775390_n.jpg?_nc_ht=instagram.fsjo14-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=pzAyzQ9E9gIAX_eGamM&tp=1&oh=a3f8c1e2a274437e839a9a6fa8af5254&oe=5FFB9E60
emilyp_dea1500-CIhE7U7BC4K.jpg,https://www.instagram.com/p/CIhE7U7BC4K,12/8/2020,emilyp_dea1500,29,0.2759,6,2,,image,her process: small group ecology. where people sit in relation to each other can indicate the relationship they have/what they’re doing. sitting next to each other often suggests collaboration. i’m not sure if this applies to dogs but no one in my family wanted to participate! #envpsy #envpsyw7,"envpsy, envpsyw7",,https://instagram.fsjo14-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/130266329_588629785293837_3816940148718102382_n.jpg?_nc_ht=instagram.fsjo14-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=artv-2CFVEUAX_Vt-u6&tp=1&oh=b7a7745ee6757e57f83ef51e9080f751&oe=5FFD6B81
vsieben7-CIeeXctj7yy.jpg,https://www.instagram.com/p/CIeeXctj7yy,12/7/2020,vsieben7,33,0.3333,7,4,,image,#envpsyw7 #envpsy this is an example of restorative environment. The natural elements calm me down and make me less stressful.,"envpsyw7, envpsy",,https://instagram.fpac1-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/130190145_891226104748152_5305960796351837191_n.jpg?_nc_ht=instagram.fpac1-2.fna.fbcdn.net&_nc_cat=100&_nc_ohc=tiT-YXk9fwIAX8Mia79&tp=1&oh=7b2429d639797448386cf4be376ff2c7&oe=5FFE3B93
kr397_dea-CIk0_ZIJkVq.jpg,https://www.instagram.com/p/CIk0_ZIJkVq,12/9/2020,kr397_dea,24,0.375,7,2,,image,"#envpsy #envpsyw7
Biophilia. The theory that human beings have a special restorative affiliation with nature due to evolution. I have personally  been conscious of this connection to nature and it's restorative properties since I was a kid. My parents love plants and gardening, so my house is completely surrounded by plants.","envpsy, envpsyw7",,https://instagram.fpnh6-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/129743653_423310012043200_6392950923806412546_n.jpg?_nc_ht=instagram.fpnh6-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=KvCFhjwJtR0AX_aAso8&tp=1&oh=35ab55624488048e9392c62065175b94&oe=5FFD79BC
kr397_dea-CIk0_ZIJkVq.jpg,https://www.instagram.com/p/CIk0_ZIJkVq,12/9/2020,kr397_dea,24,0.375,7,2,,image,"#envpsy #envpsyw7
Biophilia. The theory that human beings have a special restorative affiliation with nature due to evolution. I have personally  been conscious of this connection to nature and it's restorative properties since I was a kid. My parents love plants and gardening, so my house is completely surrounded by plants.","envpsy, envpsyw7",,https://instagram.fpnh6-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/130373490_131378591936249_5663367815195568307_n.jpg?_nc_ht=instagram.fpnh6-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=EQcouoFUuTkAX8rn7P-&tp=1&oh=b8040aabcd9644241513a3fd09a7a323&oe=5FFD9DF2
kjl736-CIgZ2XUhOS2.jpg,https://www.instagram.com/p/CIgZ2XUhOS2,12/7/2020,kjl736,17,0.9412,8,8,,image,"An example of the HER process of Restoration. People's love of succulents and other houseplants demonstrates biophilia, or our love for the biome. Nature is intrinsically relaxing and keeping houseplants is a good way to have a bit of nature indoors, especially in urban settings. #envpsy #envpsyw7","envpsy, envpsyw7",,https://instagram.fblb2-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/130109260_5584614108230803_402274034707540317_n.jpg?_nc_ht=instagram.fblb2-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=YzwSYDDLeREAX8-ZPqm&tp=1&oh=61c0d535aeac86ac2899185520580aee&oe=5FFB71C3
cin_r_liu-CIhk6gvAU3h.jpg,https://www.instagram.com/p/CIhk6gvAU3h,12/8/2020,cin_r_liu,2,1.5,1,2,,image,"#envpsy #envpsyw7 
This is an example of Restorative Environment. I spent most of 2020 in a room with my laptop and seeing this natural scene really reduced my stress and made me feel alive again.","envpsy, envpsyw7",,https://instagram.fpac1-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/129728196_1266916690351026_2534223254442893954_n.jpg?_nc_ht=instagram.fpac1-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=yO6e1VJR-HsAX8UsQQG&tp=1&oh=d5cad47febdadf55ac78b3585f913487&oe=5FFB1EB9
